"","decimalLatitude","decimalLongitude","year"
"502",-51.7379,-61.307,2015
"503",-51.3274,-60.192,2015
"504",-54.976386,-67.568483,2015
"505",-52.4291,-59.0922,2015
"506",-51.2941,-60.5388,2015
"507",-51.2941,-60.5388,2015
"508",-54.6602,-64.1256,2015
"509",-54.7367,-63.8645,2015
"510",-54.8931,-64.6558,2015
"511",-54.7623,-64.4292,2015
"512",-51.2953,-60.5559,2015
"513",-51.3568,-60.705,2015
"514",-51.2941,-60.5388,2015
"515",-51.8699,-73.305,2015
"516",-55.975,-67.2789,2015
"517",-51.7158,-61.3121,2015
"518",-51.3568,-60.705,2015
"519",-51.3568,-60.705,2015
"520",-51.3568,-60.705,2015
"521",-51.3568,-60.705,2015
"522",-51.3077,-60.2333,2015
"523",-54.8,-68.3167,2015
"524",-52.4258,-59.0749,2015
"525",-52.4258,-59.0749,2015
"526",-52.4258,-59.0749,2015
"527",-51.3568,-60.705,2015
"528",-52.4258,-59.0749,2015
"529",-51.2941,-60.5388,2015
"530",-51.3549,-60.6825,2015
"531",-51.3662,-60.6324,2015
"532",-51.2941,-60.5388,2015
"533",-51.7429,-59.3929,2015
"534",-51.3077,-60.2333,2015
"535",-51.2941,-60.5388,2015
"536",-51.6923,-57.8552,2015
"537",-51.2936,-60.5573,2015
"538",-51.2908,-60.5542,2015
"539",-51.3084,-60.2358,2015
"540",-55.975,-67.2789,2016
"541",-51.3077,-60.2333,2016
"542",-51.3077,-60.2333,2016
"543",-52.4291,-59.0922,2016
"544",-51.3568,-60.705,2016
"545",-51.3568,-60.705,2016
"546",-51.3568,-60.705,2016
"547",-51.7963,-59.5236,2016
"548",-51.3508,-60.6974,2016
"549",-51.3274,-60.192,2016
"550",-51.3128,-60.2499,2016
"551",-51.3128,-60.2499,2016
"552",-51.3077,-60.2333,2016
"553",-52.4291,-59.0922,2016
"554",-51.3077,-60.2333,2016
"555",-51.3042,-60.0943,2016
"556",-54.9436,-67.6624,2016
"557",-54.8389,-68.2935,2016
"558",-54.8389,-68.2935,2016
"559",-54.8389,-68.2935,2016
"560",-54.9508,-67.6671,2016
"561",-51.276723,-60.572047,2016
"562",-54.968,-66.7431,2016
"563",-51.3077,-60.2333,2016
"564",-51.3568,-60.705,2016
"565",-51.7,-58.6,2016
"566",-51.0358,-61.2158,2016
"567",-51.0358,-61.2158,2016
"568",-53.6719,-72.2667,2016
"569",-51.6957,-57.855,2016
"570",-55.9638,-66.9326,2016
"571",-54.777,-64.0484,2016
"572",-54.7367,-63.8645,2016
"573",-54.777,-64.0484,2016
"574",-54.7381,-64.022,2016
"575",-54.7051,-64.239,2016
"576",-54.777,-64.0484,2016
"577",-55.9638,-66.9326,2016
"578",-54.7367,-63.8645,2016
"579",-54.7381,-64.022,2016
"580",-54.7367,-63.8645,2016
"581",-54.7367,-63.8645,2016
"582",-51.3528,-60.6599,2016
"583",-51.2953,-60.5559,2016
"584",-51.3496,-60.6854,2016
"585",-51.3274,-60.192,2016
"586",-51.2941,-60.5388,2016
"587",-51.7379,-61.307,2016
"588",-51.0358,-61.2158,2016
"589",-51.3568,-60.705,2016
"590",-51.3619,-60.0819,2016
"591",-52.4291,-59.0922,2016
"592",-51.3568,-60.705,2016
"593",-52.4291,-59.0922,2016
"594",-52.4291,-59.0922,2016
"595",-52.4291,-59.0922,2016
"596",-52.4291,-59.0922,2016
"597",-52.4291,-59.0922,2016
"598",-51.2941,-60.5388,2016
"599",-51.3568,-60.705,2016
"600",-51.7379,-61.307,2016
"601",-51.0358,-61.2158,2016
"602",-51.370151,-60.68468,2016
"603",-51.3418,-60.6972,2016
"604",-51.6979,-57.8342,2016
"605",-51.0358,-61.2158,2016
"606",-52.4291,-59.0922,2016
"607",-51.612,-59.523,2016
"608",-51.3568,-60.705,2016
"609",-52.4338,-59.0996,2016
"610",-51.2941,-60.5388,2016
"611",-51.2804,-60.5631,2016
"612",-52.4338,-59.0996,2016
"613",-52.4291,-59.0922,2016
"614",-52.4291,-59.0922,2016
"615",-51.0358,-61.2158,2016
"616",-51.2941,-60.5388,2016
"617",-51.7379,-61.307,2016
"618",-51.7379,-61.307,2016
"619",-52.4338,-59.0996,2016
"620",-51.2922,-60.5557,2016
"621",-51.306637,-60.239182,2016
"622",-51.290804,-60.557363,2016
"623",-51.325462,-60.14328,2016
"624",-51.3077,-60.2333,2016
"625",-51.2941,-60.5388,2016
"626",-51.3652,-60.6736,2016
"627",-51.2941,-60.5388,2016
"628",-51.3274,-60.192,2016
"629",-51.3077,-60.2333,2016
"630",-51.2941,-60.5388,2016
"631",-51.2941,-60.5388,2016
"632",-51.2941,-60.5388,2016
"633",-51.3568,-60.705,2016
"634",-51.3077,-60.2333,2016
"635",-55.9446,-67.2772,2016
"636",-55.9446,-67.2772,2016
"637",-51.2941,-60.5388,2016
"638",-51.286443,-60.262289,2016
"639",-51.010294,-61.292099,2017
"640",-51.2941,-60.5388,2017
"641",-51.3274,-60.192,2017
"642",-51.3077,-60.2333,2017
"643",-51.3274,-60.192,2017
"644",-51.7379,-61.307,2017
"645",-51.3077,-60.2333,2017
"646",-51.3077,-60.2333,2017
"647",-51.4949,-58.0312,2017
"648",-51.2941,-60.5388,2017
"649",-51.3077,-60.2333,2017
"650",-51.3568,-60.705,2017
"651",-52.4291,-59.0922,2017
"652",-51.3274,-60.192,2017
"653",-51.2958,-59.7169,2017
"654",-51.308169,-60.226845,2017
"655",-51.297253,-60.53321,2017
"656",-51.724587,-61.299398,2017
"657",-51.300676,-60.248938,2017
"658",-51.724587,-61.299398,2017
"659",-51.291362,-60.554177,2017
"660",-51.292538,-60.545223,2017
"661",-51.258265,-60.579695,2017
"662",-51.286349,-60.26114,2017
"663",-51.307976,-60.529531,2017
"664",-51.307976,-60.529531,2017
"665",-51.291362,-60.554177,2017
"666",-51.297604,-60.252697,2017
"667",-51.718549,-61.307014,2017
"668",-51.718549,-61.307014,2017
"669",-51.297852,-60.252652,2017
"670",-51.722169,-61.300827,2017
"671",-51.722169,-61.300827,2017
"672",-51.297253,-60.53321,2017
"673",-51.292538,-60.545223,2017
"674",-52.4291,-59.0922,2017
"675",-51.2941,-60.5388,2017
"676",-51.3077,-60.2333,2017
"677",-52.4291,-59.0922,2017
"678",-52.4291,-59.0922,2017
"679",-51.3097,-60.1037,2017
"680",-52.4291,-59.0922,2017
"681",-51.4798,-57.8338,2017
"682",-51.2941,-60.5388,2017
"683",-52.2227,-58.8819,2017
"684",-51.3077,-60.2333,2017
"685",-51.2941,-60.5388,2017
"686",-51.4798,-57.8338,2017
"687",-52.4291,-59.0922,2017
"688",-51.3097,-60.1037,2017
"689",-52.578043,-59.074607,2017
"690",-51.331,-59.9428,2017
"691",-51.3102,-60.5218,2017
"692",-51.3495,-60.685,2017
"693",-53.8322,-72.4761,2017
"694",-55.9648,-67.225,2017
"695",-51.3104,-60.0915,2017
"696",-51.7213,-61.3006,2017
"697",-51.0358,-61.2158,2017
"698",-51.3102,-60.5218,2017
"699",-51.3496,-60.6854,2017
"700",-51.3568,-60.705,2017
"701",-54.792732,-68.224387,2017
"702",-53.8317,-72.3828,2017
"703",-54.788365,-64.178082,2017
"704",-56.4815,-68.7236,2017
"705",-56.4815,-68.7236,2017
"706",-56.4815,-68.7236,2017
"707",-51.7379,-61.307,2017
"708",-56.526949,-68.621801,2017
"709",-51.3349,-60.7256,2017
"710",-51.2941,-60.5388,2017
"711",-51.3568,-60.705,2017
"712",-51.3568,-60.705,2017
"713",-51.7292,-61.2851,2017
"714",-54.8444,-64.6801,2017
"715",-54.7367,-63.8645,2017
"716",-55.9648,-67.225,2017
"717",-53.8308,-72.1781,2017
"718",-51.3533,-60.6957,2017
"719",-54.6602,-64.1256,2017
"720",-54.7367,-63.8645,2017
"721",-55.9648,-67.225,2017
"722",-54.8444,-64.6801,2017
"723",-54.8391,-64.4584,2017
"724",-54.7367,-63.8645,2017
"725",-54.6602,-64.1256,2017
"726",-55.9648,-67.225,2017
"727",-55.9632,-67.2221,2017
"728",-54.6602,-64.1256,2017
